#COUNT	ENDPOINT
0	delete /proposals/{id}/lines/{lineid}
0	put /proposals/{id}/lines/{lineid}
0	post /proposals/{id}/setinvoiced
0	post /proposals/{id}/settodraft
0	post /proposals/{id}/validate
1	get /proposals/ref_ext/{ref_ext}
1	get /proposals/ref/{ref}
0	get /setup/checkintegrity
1	get /setup/company
0	get /setup/conf/{constantname}
0	get /setup/dictionary/availability
0	get /setup/dictionary/civilities
0	get /setup/dictionary/contact_types
0	get /setup/dictionary/countries
0	get /setup/dictionary/countries/{id}
0	get /setup/dictionary/countries/byCode/{code}
0	get /setup/dictionary/countries/byISO/{iso}
1	get /setup/dictionary/currencies
0	get /setup/dictionary/event_types
0	get /setup/dictionary/expensereport_types
0	get /setup/dictionary/incoterms
0	get /setup/dictionary/legal_form
0	get /setup/dictionary/ordering_methods
0	get /setup/dictionary/ordering_origins
0	get /setup/dictionary/payment_terms
0	get /setup/dictionary/payment_types
0	get /setup/dictionary/regions
0	get /setup/dictionary/regions/{id}
0	get /setup/dictionary/regions/byCode/{code}
0	get /setup/dictionary/shipping_methods
0	get /setup/dictionary/socialnetworks
0	get /setup/dictionary/staff
0	get /setup/dictionary/states
0	get /setup/dictionary/states/{id}
0	get /setup/dictionary/states/byCode/{code}
0	get /setup/dictionary/ticket_categories
0	get /setup/dictionary/ticket_severities
0	get /setup/dictionary/ticket_types
0	get /setup/dictionary/towns
0	get /setup/dictionary/units
0	get /setup/establishments
0	get /setup/establishments/{id}
1	get /setup/extrafields
0	delete /setup/extrafields/{elementtype}/{attrname}
0	get /setup/extrafields/{elementtype}/{attrname}
0	post /setup/extrafields/{elementtype}/{attrname}
0	put /setup/extrafields/{elementtype}/{attrname}
1	get /setup/modules
2	get /shipments
0	post /shipments
0	delete /shipments/{id}
1	get /shipments/{id}
0	put /shipments/{id}
0	post /shipments/{id}/close
0	delete /shipments/{id}/lines/{lineid}
1	post /shipments/{id}/validate
1	get /status
0	get /stockmovements
0	post /stockmovements
1	get /subscriptions
0	post /subscriptions
0	delete /subscriptions/{id}
1	get /subscriptions/{id}
0	put /subscriptions/{id}
0	get /supplierinvoices
0	post /supplierinvoices
0	delete /supplierinvoices/{id}
0	get /supplierinvoices/{id}
0	put /supplierinvoices/{id}
0	get /supplierinvoices/{id}/lines
0	post /supplierinvoices/{id}/lines
0	delete /supplierinvoices/{id}/lines/{lineid}
0	put /supplierinvoices/{id}/lines/{lineid}
0	get /supplierinvoices/{id}/payments
0	post /supplierinvoices/{id}/payments
0	post /supplierinvoices/{id}/validate
0	get /supplierorders
0	post /supplierorders
0	delete /supplierorders/{id}
0	get /supplierorders/{id}
0	put /supplierorders/{id}
0	post /supplierorders/{id}/approve
0	delete /supplierorders/{id}/contact/{contactid}/{type}/{source}
0	post /supplierorders/{id}/contact/{contactid}/{type}/{source}
0	get /supplierorders/{id}/contacts
0	post /supplierorders/{id}/makeorder
0	post /supplierorders/{id}/receive
0	post /supplierorders/{id}/validate
0	get /tasks
0	post /tasks
0	delete /tasks/{id}
0	get /tasks/{id}
0	put /tasks/{id}
0	post /tasks/{id}/addtimespent
0	get /tasks/{id}/roles
0	delete /tasks/{id}/timespent/{timespent_id}
0	put /tasks/{id}/timespent/{timespent_id}
0	get /tasks/timespentrecordchecks/{id}
1	get /thirdparties
0	post /thirdparties
0	delete /thirdparties/{id}
1	get /thirdparties/{id}
0	put /thirdparties/{id}
0	delete /thirdparties/{id}/accounts
1	get /thirdparties/{id}/accounts
0	post /thirdparties/{id}/accounts
0	delete /thirdparties/{id}/accounts/{site}
0	patch /thirdparties/{id}/accounts/{site}
